,cluster,week,day,hour,minute,wk_ago,day_ago,target
1037,0,34,2,10,20,20,50,20
1038,0,34,2,10,30,30,50,10
1039,0,34,2,10,40,20,60,10
1040,0,34,2,10,50,20,70,20
1041,0,34,2,11,0,20,50,10
1042,0,34,2,11,10,20,20,20
1043,0,34,2,11,20,20,30,10
1044,0,34,2,11,30,20,30,20
1045,0,34,2,11,40,30,20,10
1046,0,34,2,11,50,50,20,10
1047,0,34,2,12,0,30,10,10
1048,0,34,2,12,10,20,10,10
1049,0,34,2,12,20,20,30,20
1050,0,34,2,12,30,0,30,20
1051,0,34,2,12,40,0,30,20
1052,0,34,2,12,50,20,60,10
1053,0,34,2,13,0,20,20,10
1054,0,34,2,13,10,20,20,20
1055,0,34,2,13,20,10,20,10
1056,0,34,2,13,30,20,20,10
1057,0,34,2,13,40,10,20,50
1058,0,34,2,13,50,30,10,20
1059,0,34,2,14,0,30,20,30
1060,0,34,2,14,10,20,20,50
1061,0,34,2,14,20,30,20,20
1062,0,34,2,14,30,10,30,20
1063,0,34,2,14,40,20,50,20
1064,0,34,2,14,50,30,50,30
1065,0,34,2,15,0,10,20,30
1066,0,34,2,15,10,0,60,20
1067,0,34,2,15,20,0,70,20
1068,0,34,2,15,30,10,70,10
1069,0,34,2,15,40,10,60,10
1070,0,34,2,15,50,10,50,0
1071,0,34,2,16,0,10,60,0
1072,0,34,2,16,10,10,70,10
1073,0,34,2,16,20,0,50,20
1074,0,34,2,16,30,10,50,20
1075,0,34,2,16,40,10,50,30
1076,0,34,2,16,50,10,50,20
1176,0,34,3,10,0,20,20,30
1177,0,34,3,10,10,50,10,10
1178,0,34,3,10,20,30,20,20
1179,0,34,3,10,30,20,10,30
1180,0,34,3,10,40,30,10,30
1181,0,34,3,10,50,30,20,30
1182,0,34,3,11,0,30,10,20
1183,0,34,3,11,10,50,20,0
1184,0,34,3,11,20,30,10,20
1185,0,34,3,11,30,30,20,30
1186,0,34,3,11,40,20,10,10
1187,0,34,3,11,50,20,10,50
1188,0,34,3,12,0,20,10,20
1189,0,34,3,12,10,30,10,20
1190,0,34,3,12,20,30,20,20
1191,0,34,3,12,30,20,20,10
1192,0,34,3,12,40,20,20,0
